
时间（s）	 地心距（m）	 经度（rad）	 纬度（rad）	 速度（m/s）	 弹道倾角（rad）	 弹道偏角（rad）	  纵向距离（m）	 侧向距离（m）	 地面高度（m）
0.000000	6378000.000000	0.783945	-0.008727	0.000000	1.012291	4.712389	5000000.000000	-55658.549846	0.000000
0.100000	6378000.000000	0.783945	-0.008727	1.438005	1.012291	4.712389	5000000.000000	-55658.549846	0.000000
0.200000	6378000.121950	0.783945	-0.008727	2.877970	1.012291	4.712389	4999999.923794	-55658.549846	0.121950
0.300000	6378000.366015	0.783945	-0.008727	4.319891	1.012291	4.712389	4999999.771279	-55658.549846	0.366015
0.400000	6378000.732363	0.783945	-0.008727	5.763766	1.012291	4.712389	4999999.542351	-55658.549846	0.732363
0.500000	6378001.221158	0.783945	-0.008727	7.209592	1.012291	4.712389	4999999.236907	-55658.549846	1.221158
0.600000	6378001.832566	0.783945	-0.008727	8.657367	1.012291	4.712389	4999998.854842	-55658.549846	1.832566
0.700000	6378002.566752	0.783945	-0.008727	10.107087	1.012291	4.712389	4999998.396054	-55658.549846	2.566752
0.800000	6378003.423882	0.783944	-0.008727	11.558751	1.012291	4.712389	4999997.860440	-55658.549846	3.423882
0.900000	6378004.404120	0.783944	-0.008727	13.012354	1.012291	4.712389	4999997.247897	-55658.549846	4.404120
1.000000	6378005.507630	0.783944	-0.008727	14.467895	1.012291	4.712389	4999996.558321	-55658.549846	5.507630
1.100000	6378006.734577	0.783944	-0.008727	15.925370	1.012291	4.712389	4999995.791611	-55658.549846	6.734577
1.200000	6378008.085125	0.783944	-0.008727	17.384778	1.012291	4.712389	4999994.947664	-55658.549846	8.085125
1.300000	6378009.559438	0.783944	-0.008727	18.846114	1.012291	4.712389	4999994.026377	-55658.549846	9.559438
1.400000	6378011.157679	0.783944	-0.008727	20.309375	1.012291	4.712389	4999993.027648	-55658.549846	11.157679
1.500000	6378012.880012	0.783944	-0.008727	21.774560	1.012291	4.712389	4999991.951376	-55658.549846	12.880012
1.600000	6378014.726599	0.783943	-0.008727	23.241664	1.012291	4.712389	4999990.797459	-55658.549846	14.726599
1.700000	6378016.697604	0.783943	-0.008727	24.710686	1.012291	4.712389	4999989.565794	-55658.549846	16.697604
1.800000	6378018.793189	0.783943	-0.008727	26.181621	1.012291	4.712389	4999988.256281	-55658.549846	18.793189
1.900000	6378021.013516	0.783943	-0.008727	27.654467	1.012291	4.712389	4999986.868818	-55658.549846	21.013516
2.000000	6378023.358748	0.783943	-0.008727	29.129222	1.012291	4.712389	4999985.403303	-55658.549846	23.358748
2.100000	6378025.829046	0.783942	-0.008727	30.605880	1.012291	4.712389	4999983.859637	-55658.549846	25.829046
2.200000	6378028.424572	0.783942	-0.008727	32.084441	1.012291	4.712389	4999982.237717	-55658.549846	28.424572
2.300000	6378031.145487	0.783942	-0.008727	33.564900	1.012291	4.712389	4999980.537443	-55658.549846	31.145487
2.400000	6378033.991952	0.783941	-0.008727	35.047254	1.012291	4.712389	4999978.758716	-55658.549846	33.991952
2.500000	6378036.964128	0.783941	-0.008727	36.531501	1.012291	4.712389	4999976.901433	-55658.549846	36.964128
2.600000	6378040.062175	0.783941	-0.008727	38.017637	1.012291	4.712389	4999974.965496	-55658.549846	40.062175
2.700000	6378043.286253	0.783941	-0.008727	39.505659	1.012291	4.712389	4999972.950804	-55658.549846	43.286253
2.800000	6378046.636523	0.783940	-0.008727	40.995564	1.012291	4.712389	4999970.857258	-55658.549846	46.636523
2.900000	6378050.113144	0.783940	-0.008727	42.487348	1.012291	4.712389	4999968.684757	-55658.549845	50.113144
3.000000	6378053.716275	0.783940	-0.008727	43.981008	1.012291	4.712389	4999966.433203	-55658.549845	53.716275
3.100000	6378057.446076	0.783939	-0.008727	45.476542	1.012291	4.712389	4999964.102495	-55658.549845	57.446076
3.200000	6378061.302706	0.783939	-0.008727	46.973945	1.012291	4.712389	4999961.692536	-55658.549845	61.302706
3.300000	6378065.286322	0.783938	-0.008727	48.473215	1.012291	4.712389	4999959.203225	-55658.549845	65.286322
3.400000	6378069.397084	0.783938	-0.008727	49.974349	1.012291	4.712389	4999956.634464	-55658.549845	69.397084
3.500000	6378073.635149	0.783938	-0.008727	51.477342	1.012291	4.712389	4999953.986155	-55658.549845	73.635149
3.600000	6378078.000676	0.783937	-0.008727	52.982192	1.012291	4.712389	4999951.258199	-55658.549845	78.000676
3.700000	6378082.493820	0.783937	-0.008727	54.488896	1.012291	4.712389	4999948.450498	-55658.549844	82.493820
3.800000	6378087.114741	0.783936	-0.008727	55.997450	1.012291	4.712389	4999945.562954	-55658.549844	87.114741
3.900000	6378091.863594	0.783936	-0.008727	57.507851	1.012291	4.712389	4999942.595469	-55658.549844	91.863594
4.000000	6378096.740536	0.783935	-0.008727	59.020096	1.012291	4.712389	4999939.547945	-55658.549844	96.740536
4.100000	6378101.745724	0.783935	-0.008727	60.534181	1.012291	4.712389	4999936.420285	-55658.549843	101.745724
