
时间（s）	 地心距（m）	 经度（rad）	 纬度（rad）	 速度（m/s）	 弹道倾角（rad）	 弹道偏角（rad）	  纵向距离（m）	 侧向距离（m）	 地面高度（m）
0.000000	6378000.000000	0.423330	-0.007854	0.000000	1.012291	4.712389	2700000.000000	-50092.694861	0.000000
0.100000	6378000.000000	0.423330	-0.007854	1.438005	1.012291	4.712389	2700000.000000	-50092.694861	0.000000
0.200000	6378000.121950	0.423330	-0.007854	2.877970	1.012291	4.712389	2699999.923795	-50092.694861	0.121950
0.300000	6378000.366015	0.423330	-0.007854	4.319891	1.012291	4.712389	2699999.771281	-50092.694861	0.366015
0.400000	6378000.732363	0.423330	-0.007854	5.763766	1.012291	4.712389	2699999.542355	-50092.694861	0.732363
0.500000	6378001.221158	0.423330	-0.007854	7.209592	1.012291	4.712389	2699999.236912	-50092.694861	1.221158
0.600000	6378001.832566	0.423330	-0.007854	8.657367	1.012291	4.712389	2699998.854850	-50092.694861	1.832566
0.700000	6378002.566752	0.423330	-0.007854	10.107087	1.012291	4.712389	2699998.396066	-50092.694861	2.566752
0.800000	6378003.423882	0.423330	-0.007854	11.558751	1.012291	4.712389	2699997.860455	-50092.694861	3.423882
0.900000	6378004.404120	0.423330	-0.007854	13.012354	1.012291	4.712389	2699997.247916	-50092.694861	4.404120
1.000000	6378005.507630	0.423330	-0.007854	14.467895	1.012291	4.712389	2699996.558346	-50092.694861	5.507630
1.100000	6378006.734577	0.423330	-0.007854	15.925370	1.012291	4.712389	2699995.791641	-50092.694861	6.734577
1.200000	6378008.085125	0.423329	-0.007854	17.384778	1.012291	4.712389	2699994.947700	-50092.694861	8.085125
1.300000	6378009.559438	0.423329	-0.007854	18.846114	1.012291	4.712389	2699994.026420	-50092.694861	9.559438
1.400000	6378011.157679	0.423329	-0.007854	20.309375	1.012291	4.712389	2699993.027699	-50092.694861	11.157679
1.500000	6378012.880012	0.423329	-0.007854	21.774560	1.012291	4.712389	2699991.951435	-50092.694861	12.880012
1.600000	6378014.726599	0.423329	-0.007854	23.241664	1.012291	4.712389	2699990.797526	-50092.694861	14.726599
1.700000	6378016.697604	0.423329	-0.007854	24.710686	1.012291	4.712389	2699989.565870	-50092.694861	16.697604
1.800000	6378018.793189	0.423328	-0.007854	26.181621	1.012291	4.712389	2699988.256366	-50092.694861	18.793189
1.900000	6378021.013516	0.423328	-0.007854	27.654467	1.012291	4.712389	2699986.868913	-50092.694861	21.013516
2.000000	6378023.358748	0.423328	-0.007854	29.129222	1.012291	4.712389	2699985.403409	-50092.694861	23.358748
2.100000	6378025.829046	0.423328	-0.007854	30.605880	1.012291	4.712389	2699983.859753	-50092.694861	25.829046
2.200000	6378028.424572	0.423327	-0.007854	32.084441	1.012291	4.712389	2699982.237845	-50092.694861	28.424572
2.300000	6378031.145487	0.423327	-0.007854	33.564900	1.012291	4.712389	2699980.537584	-50092.694861	31.145487
2.400000	6378033.991952	0.423327	-0.007854	35.047254	1.012291	4.712389	2699978.758869	-50092.694861	33.991952
2.500000	6378036.964128	0.423327	-0.007854	36.531501	1.012291	4.712389	2699976.901600	-50092.694861	36.964128
2.600000	6378040.062175	0.423326	-0.007854	38.017637	1.012291	4.712389	2699974.965677	-50092.694861	40.062175
2.700000	6378043.286253	0.423326	-0.007854	39.505659	1.012291	4.712389	2699972.951000	-50092.694861	43.286253
2.800000	6378046.636523	0.423326	-0.007854	40.995564	1.012291	4.712389	2699970.857469	-50092.694861	46.636523
2.900000	6378050.113144	0.423325	-0.007854	42.487348	1.012291	4.712389	2699968.684984	-50092.694861	50.113144
3.000000	6378053.716275	0.423325	-0.007854	43.981008	1.012291	4.712389	2699966.433445	-50092.694861	53.716275
3.100000	6378057.446076	0.423325	-0.007854	45.476542	1.012291	4.712389	2699964.102755	-50092.694861	57.446076
