
时间（s）	 地心距（m）	 经度（rad）	 纬度（rad）	 速度（m/s）	 弹道倾角（rad）	 弹道偏角（rad）	  纵向距离（m）	 侧向距离（m）	 地面高度（m）
299.000000	6434215.498976	0.185511	0.017118	5261.817412	-0.032744	1.574494	1183189.158000	109178.604000	56215.498976
299.100000	6434198.272532	0.185593	0.017118	5261.830485	-0.032822	1.574496	1183712.154000	109178.604000	56198.272532
299.200000	6434181.005207	0.185674	0.017117	5261.843586	-0.032900	1.574498	1184228.772000	109172.226000	56181.005207
299.300000	6434163.697012	0.185756	0.017117	5261.856714	-0.032977	1.574499	1184751.768000	109172.226000	56163.697012
299.400000	6434146.347958	0.185838	0.017117	5261.869868	-0.033055	1.574501	1185274.764000	109172.226000	56146.347958
299.500000	6434128.958057	0.185920	0.017117	5261.883048	-0.033132	1.574503	1185797.760000	109172.226000	56128.958057
299.600000	6434111.527320	0.186001	0.017116	5261.896254	-0.033210	1.574504	1186314.378000	109165.848000	56111.527320
299.700000	6434094.055758	0.186083	0.017116	5261.909487	-0.033288	1.574506	1186837.374000	109165.848000	56094.055758
299.800000	6434076.543384	0.186165	0.017116	5261.922745	-0.033365	1.574508	1187360.370000	109165.848000	56076.543384
299.900000	6434058.990208	0.186247	0.017115	5261.936028	-0.033443	1.574509	1187883.366000	109159.470000	56058.990208
300.000000	6434041.396242	0.186328	0.017115	5261.949336	-0.033520	1.574511	1188399.984000	109159.470000	56041.396242
300.100000	6434023.761499	0.186410	0.017115	5261.962669	-0.033597	1.574513	1188922.980000	109159.470000	56023.761499
300.200000	6434006.085989	0.186492	0.017114	5261.976026	-0.033675	1.574514	1189445.976000	109153.092000	56006.085989
300.300000	6433988.369724	0.186574	0.017114	5261.989408	-0.033752	1.574516	1189968.972000	109153.092000	55988.369724
300.400000	6433970.612716	0.186655	0.017114	5262.002813	-0.033830	1.574517	1190485.590000	109153.092000	55970.612716
300.500000	6433952.814978	0.186737	0.017114	5262.016242	-0.033907	1.574519	1191008.586000	109153.092000	55952.814978
300.600000	6433934.976521	0.186819	0.017113	5262.029695	-0.033984	1.574521	1191531.582000	109146.714000	55934.976521
300.700000	6433917.097357	0.186901	0.017113	5262.043170	-0.034062	1.574522	1192054.578000	109146.714000	55917.097357
300.800000	6433899.177498	0.186982	0.017113	5262.056669	-0.034139	1.574524	1192571.196000	109146.714000	55899.177498
300.900000	6433881.216957	0.187064	0.017112	5262.070190	-0.034216	1.574526	1193094.192000	109140.336000	55881.216957
301.000000	6433863.215745	0.187146	0.017112	5262.083733	-0.034293	1.574527	1193617.188000	109140.336000	55863.215745
301.100000	6433845.173875	0.187228	0.017112	5262.097299	-0.034370	1.574529	1194140.184000	109140.336000	55845.173875
301.200000	6433827.091359	0.187309	0.017111	5262.110886	-0.034448	1.574531	1194656.802000	109133.958000	55827.091359
301.300000	6433808.968210	0.187391	0.017111	5262.124494	-0.034525	1.574532	1195179.798000	109133.958000	55808.968210
301.400000	6433790.804440	0.187473	0.017111	5262.138124	-0.034602	1.574534	1195702.794000	109133.958000	55790.804440
301.500000	6433772.600061	0.187555	0.017110	5262.151775	-0.034679	1.574536	1196225.790000	109127.580000	55772.600061
301.600000	6433754.355087	0.187636	0.017110	5262.165446	-0.034756	1.574537	1196742.408000	109127.580000	55754.355087
301.700000	6433736.069529	0.187718	0.017110	5262.179137	-0.034833	1.574539	1197265.404000	109127.580000	55736.069529
301.800000	6433717.743402	0.187800	0.017110	5262.192849	-0.034910	1.574541	1197788.400000	109127.580000	55717.743402
301.900000	6433699.376716	0.187882	0.017109	5262.206580	-0.034987	1.574542	1198311.396000	109121.202000	55699.376716
302.000000	6433680.969485	0.187963	0.017109	5262.220330	-0.035064	1.574544	1198828.014000	109121.202000	55680.969485
302.100000	6433662.521723	0.188045	0.017109	5262.234100	-0.035141	1.574546	1199351.010000	109121.202000	55662.521723
302.200000	6433644.033442	0.188127	0.017108	5262.247888	-0.035218	1.574547	1199874.006000	109114.824000	55644.033442
302.300000	6433625.504655	0.188209	0.017108	5262.261696	-0.035295	1.574549	1200397.002000	109114.824000	55625.504655
302.400000	6433606.935374	0.188290	0.017108	5262.275521	-0.035372	1.574551	1200913.620000	109114.824000	55606.935374
302.500000	6433588.325615	0.188372	0.017107	5262.289364	-0.035449	1.574552	1201436.616000	109108.446000	55588.325615
302.600000	6433569.675389	0.188454	0.017107	5262.303225	-0.035526	1.574554	1201959.612000	109108.446000	55569.675389
302.700000	6433550.984710	0.188536	0.017107	5262.317103	-0.035602	1.574556	1202482.608000	109108.446000	55550.984710
302.800000	6433532.253591	0.188617	0.017106	5262.330998	-0.035679	1.574557	1202999.226000	109102.068000	55532.253591
302.900000	6433513.482046	0.188699	0.017106	5262.344910	-0.035756	1.574559	1203522.222000	109102.068000	55513.482046
303.000000	6433494.670088	0.188781	0.017106	5262.358838	-0.035833	1.574561	1204045.218000	109102.068000	55494.670088
303.100000	6433475.817731	0.188863	0.017106	5262.372783	-0.035909	1.574562	1204568.214000	109102.068000	55475.817731
303.200000	6433456.924988	0.188944	0.017105	5262.386743	-0.035986	1.574564	1205084.832000	109095.690000	55456.924988
303.300000	6433437.991874	0.189026	0.017105	5262.400719	-0.036063	1.574566	1205607.828000	109095.690000	55437.991874
303.400000	6433419.018402	0.189108	0.017105	5262.414709	-0.036139	1.574567	1206130.824000	109095.690000	55419.018402
303.500000	6433400.004585	0.189190	0.017104	5262.428715	-0.036216	1.574569	1206653.820000	109089.312000	55400.004585
303.600000	6433380.950438	0.189271	0.017104	5262.442735	-0.036292	1.574570	1207170.438000	109089.312000	55380.950438
303.700000	6433361.855975	0.189353	0.017104	5262.456770	-0.036369	1.574572	1207693.434000	109089.312000	55361.855975
303.800000	6433342.721210	0.189435	0.017103	5262.470818	-0.036445	1.574574	1208216.430000	109082.934000	55342.721210
303.900000	6433323.546157	0.189517	0.017103	5262.484880	-0.036522	1.574575	1208739.426000	109082.934000	55323.546157
304.000000	6433304.330830	0.189598	0.017103	5262.498955	-0.036598	1.574577	1209256.044000	109082.934000	55304.330830
304.100000	6433285.075243	0.189680	0.017102	5262.513042	-0.036675	1.574579	1209779.040000	109076.556000	55285.075243
304.200000	6433265.779412	0.189762	0.017102	5262.527143	-0.036751	1.574580	1210302.036000	109076.556000	55265.779412
304.300000	6433246.443349	0.189844	0.017102	5262.541256	-0.036828	1.574582	1210825.032000	109076.556000	55246.443349
304.400000	6433227.067070	0.189925	0.017102	5262.555380	-0.036904	1.574584	1211341.650000	109076.556000	55227.067070
304.500000	6433207.650590	0.190007	0.017101	5262.569517	-0.036980	1.574585	1211864.646000	109070.178000	55207.650590
304.600000	6433188.193922	0.190089	0.017101	5262.583664	-0.037057	1.574587	1212387.642000	109070.178000	55188.193922
304.700000	6433168.697083	0.190171	0.017101	5262.597822	-0.037133	1.574589	1212910.638000	109070.178000	55168.697083
304.800000	6433149.160085	0.190253	0.017100	5262.611991	-0.037209	1.574590	1213433.634000	109063.800000	55149.160085
304.900000	6433129.582945	0.190334	0.017100	5262.626170	-0.037285	1.574592	1213950.252000	109063.800000	55129.582945
305.000000	6433109.965678	0.190416	0.017100	5262.640360	-0.037361	1.574594	1214473.248000	109063.800000	55109.965678
305.100000	6433090.308298	0.190498	0.017099	5262.654558	-0.037438	1.574595	1214996.244000	109057.422000	55090.308298
305.200000	6433070.610820	0.190580	0.017099	5262.668766	-0.037514	1.574597	1215519.240000	109057.422000	55070.610820
305.300000	6433050.873260	0.190661	0.017099	5262.682983	-0.037590	1.574599	1216035.858000	109057.422000	55050.873260
305.400000	6433031.095632	0.190743	0.017098	5262.697208	-0.037666	1.574600	1216558.854000	109051.044000	55031.095632
305.500000	6433011.277953	0.190825	0.017098	5262.711441	-0.037742	1.574602	1217081.850000	109051.044000	55011.277953
305.600000	6432991.420238	0.190907	0.017098	5262.725682	-0.037818	1.574604	1217604.846000	109051.044000	54991.420238
305.700000	6432971.522501	0.190988	0.017097	5262.739931	-0.037894	1.574605	1218121.464000	109044.666000	54971.522501
305.800000	6432951.584760	0.191070	0.017097	5262.754186	-0.037970	1.574607	1218644.460000	109044.666000	54951.584760
305.900000	6432931.607028	0.191152	0.017097	5262.768449	-0.038046	1.574609	1219167.456000	109044.666000	54931.607028
306.000000	6432911.589323	0.191234	0.017097	5262.782717	-0.038122	1.574610	1219690.452000	109044.666000	54911.589323
306.100000	6432891.531659	0.191315	0.017096	5262.796992	-0.038197	1.574612	1220207.070000	109038.288000	54891.531659
306.200000	6432871.434054	0.191397	0.017096	5262.811273	-0.038273	1.574614	1220730.066000	109038.288000	54871.434054
306.300000	6432851.296522	0.191479	0.017096	5262.825558	-0.038349	1.574615	1221253.062000	109038.288000	54851.296522
306.400000	6432831.119080	0.191561	0.017095	5262.839849	-0.038425	1.574617	1221776.058000	109031.910000	54831.119080
306.500000	6432810.901743	0.191642	0.017095	5262.854144	-0.038500	1.574619	1222292.676000	109031.910000	54810.901743
306.600000	6432790.644529	0.191724	0.017095	5262.868443	-0.038576	1.574620	1222815.672000	109031.910000	54790.644529
306.700000	6432770.347453	0.191806	0.017094	5262.882746	-0.038652	1.574622	1223338.668000	109025.532000	54770.347453
306.800000	6432750.010532	0.191888	0.017094	5262.897053	-0.038727	1.574623	1223861.664000	109025.532000	54750.010532
306.900000	6432729.633782	0.191970	0.017094	5262.911362	-0.038803	1.574625	1224384.660000	109025.532000	54729.633782
307.000000	6432709.217221	0.192051	0.017093	5262.925674	-0.038879	1.574627	1224901.278000	109019.154000	54709.217221
307.100000	6432688.760863	0.192133	0.017093	5262.939989	-0.038954	1.574628	1225424.274000	109019.154000	54688.760863
307.200000	6432668.264727	0.192215	0.017093	5262.954305	-0.039030	1.574630	1225947.270000	109019.154000	54668.264727
307.300000	6432647.728828	0.192297	0.017092	5262.968623	-0.039105	1.574632	1226470.266000	109012.776000	54647.728828
307.400000	6432627.153185	0.192378	0.017092	5262.982942	-0.039181	1.574633	1226986.884000	109012.776000	54627.153185
307.500000	6432606.537813	0.192460	0.017092	5262.997262	-0.039256	1.574635	1227509.880000	109012.776000	54606.537813
307.600000	6432585.882730	0.192542	0.017092	5263.011582	-0.039331	1.574637	1228032.876000	109012.776000	54585.882730
307.700000	6432565.187953	0.192624	0.017091	5263.025902	-0.039407	1.574638	1228555.872000	109006.398000	54565.187953
307.800000	6432544.453500	0.192705	0.017091	5263.040221	-0.039482	1.574640	1229072.490000	109006.398000	54544.453500
307.900000	6432523.679386	0.192787	0.017091	5263.054540	-0.039557	1.574642	1229595.486000	109006.398000	54523.679386
308.000000	6432502.865631	0.192869	0.017090	5263.068858	-0.039632	1.574643	1230118.482000	109000.020000	54502.865631
308.100000	6432482.012252	0.192951	0.017090	5263.083173	-0.039708	1.574645	1230641.478000	109000.020000	54482.012252
308.200000	6432461.119265	0.193032	0.017090	5263.097487	-0.039783	1.574647	1231158.096000	109000.020000	54461.119265
308.300000	6432440.186690	0.193114	0.017089	5263.111798	-0.039858	1.574648	1231681.092000	108993.642000	54440.186690
308.400000	6432419.214542	0.193196	0.017089	5263.126107	-0.039933	1.574650	1232204.088000	108993.642000	54419.214542
308.500000	6432398.202842	0.193278	0.017089	5263.140412	-0.040008	1.574652	1232727.084000	108993.642000	54398.202842
308.600000	6432377.151605	0.193360	0.017088	5263.154713	-0.040083	1.574653	1233250.080000	108987.264000	54377.151605
308.700000	6432356.060851	0.193441	0.017088	5263.169011	-0.040158	1.574655	1233766.698000	108987.264000	54356.060851
308.800000	6432334.930598	0.193523	0.017088	5263.183304	-0.040233	1.574657	1234289.694000	108987.264000	54334.930598
308.900000	6432313.760863	0.193605	0.017087	5263.197591	-0.040308	1.574658	1234812.690000	108980.886000	54313.760863
309.000000	6432292.551665	0.193687	0.017087	5263.211874	-0.040383	1.574660	1235335.686000	108980.886000	54292.551665
309.100000	6432271.303023	0.193768	0.017087	5263.226151	-0.040458	1.574662	1235852.304000	108980.886000	54271.303023
309.200000	6432250.014955	0.193850	0.017087	5263.240421	-0.040533	1.574663	1236375.300000	108980.886000	54250.014955
309.300000	6432228.687479	0.193932	0.017086	5263.254685	-0.040607	1.574665	1236898.296000	108974.508000	54228.687479
309.400000	6432207.320615	0.194014	0.017086	5263.268942	-0.040682	1.574667	1237421.292000	108974.508000	54207.320615
309.500000	6432185.914381	0.194095	0.017086	5263.283191	-0.040757	1.574668	1237937.910000	108974.508000	54185.914381
309.600000	6432164.468796	0.194177	0.017085	5263.297432	-0.040832	1.574670	1238460.906000	108968.130000	54164.468796
309.700000	6432142.983879	0.194259	0.017085	5263.311665	-0.040906	1.574671	1238983.902000	108968.130000	54142.983879
309.800000	6432121.459649	0.194341	0.017085	5263.325889	-0.040981	1.574673	1239506.898000	108968.130000	54121.459649
309.900000	6432099.896125	0.194423	0.017084	5263.340104	-0.041055	1.574675	1240029.894000	108961.752000	54099.896125
310.000000	6432078.293327	0.194504	0.017084	5263.354309	-0.041130	1.574676	1240546.512000	108961.752000	54078.293327
310.100000	6432056.651274	0.194586	0.017084	5263.368504	-0.041204	1.574678	1241069.508000	108961.752000	54056.651274
310.200000	6432034.969985	0.194668	0.017083	5263.382688	-0.041279	1.574680	1241592.504000	108955.374000	54034.969985
310.300000	6432013.249480	0.194750	0.017083	5263.396862	-0.041353	1.574681	1242115.500000	108955.374000	54013.249480
310.400000	6431991.489779	0.194831	0.017083	5263.411023	-0.041428	1.574683	1242632.118000	108955.374000	53991.489779
310.500000	6431969.690902	0.194913	0.017082	5263.425173	-0.041502	1.574685	1243155.114000	108948.996000	53969.690902
