
时间（s）	 地心距（m）	 经度（rad）	 纬度（rad）	 速度（m/s）	 弹道倾角（rad）	 弹道偏角（rad）	  纵向距离（m）	 侧向距离（m）	 地面高度（m）
1000.100000	6398000.000000	0.037633	0.017453	240.000000	0.000000	0.000000	240024.000000	111317.099692	20000.000000
1000.200000	6398000.000000	0.037637	0.017453	240.000000	0.000000	0.000000	240048.000000	111317.099692	20000.000000
1000.300000	6398000.000000	0.037641	0.017453	240.000000	0.000000	0.000000	240072.000000	111317.099692	20000.000000
1000.400000	6398000.000000	0.037644	0.017453	240.000000	0.000000	0.000000	240096.000000	111317.099692	20000.000000
1000.500000	6398000.000000	0.037648	0.017453	240.000000	0.000000	0.000000	240120.000000	111317.099692	20000.000000
1000.600000	6398000.000000	0.037652	0.017453	240.000000	0.000000	0.000000	240144.000000	111317.099692	20000.000000
1000.700000	6398000.000000	0.037656	0.017453	240.000000	0.000000	0.000000	240168.000000	111317.099692	20000.000000
1000.800000	6398000.000000	0.037659	0.017453	240.000000	0.000000	0.000000	240192.000000	111317.099692	20000.000000
1000.900000	6398000.000000	0.037663	0.017453	240.000000	0.000000	0.000000	240216.000000	111317.099692	20000.000000
1001.000000	6398000.000000	0.037667	0.017453	240.000000	0.000000	0.000000	240240.000000	111317.099692	20000.000000
1001.100000	6398000.000000	0.037671	0.017453	240.000000	0.000000	0.000000	240264.000000	111317.099692	20000.000000
1001.200000	6398000.000000	0.037675	0.017453	240.000000	0.000000	0.000000	240288.000000	111317.099692	20000.000000
1001.300000	6398000.000000	0.037678	0.017453	240.000000	0.000000	0.000000	240312.000000	111317.099692	20000.000000
1001.400000	6398000.000000	0.037682	0.017453	240.000000	0.000000	0.000000	240336.000000	111317.099692	20000.000000
1001.500000	6398000.000000	0.037686	0.017453	240.000000	0.000000	0.000000	240360.000000	111317.099692	20000.000000
1001.600000	6398000.000000	0.037690	0.017453	240.000000	0.000000	0.000000	240384.000000	111317.099692	20000.000000
1001.700000	6398000.000000	0.037693	0.017453	240.000000	0.000000	0.000000	240408.000000	111317.099692	20000.000000
1001.800000	6398000.000000	0.037697	0.017453	240.000000	0.000000	0.000000	240432.000000	111317.099692	20000.000000
1001.900000	6398000.000000	0.037701	0.017453	240.000000	0.000000	0.000000	240456.000000	111317.099692	20000.000000
1002.000000	6398000.000000	0.037705	0.017453	240.000000	0.000000	0.000000	240480.000000	111317.099692	20000.000000
1002.100000	6398000.000000	0.037708	0.017453	240.000000	0.000000	0.000000	240504.000000	111317.099692	20000.000000
1002.200000	6398000.000000	0.037712	0.017453	240.000000	0.000000	0.000000	240528.000000	111317.099692	20000.000000
1002.300000	6398000.000000	0.037716	0.017453	240.000000	0.000000	0.000000	240552.000000	111317.099692	20000.000000
1002.400000	6398000.000000	0.037720	0.017453	240.000000	0.000000	0.000000	240576.000000	111317.099692	20000.000000
1002.500000	6398000.000000	0.037723	0.017453	240.000000	0.000000	0.000000	240600.000000	111317.099692	20000.000000
1002.600000	6398000.000000	0.037727	0.017453	240.000000	0.000000	0.000000	240624.000000	111317.099692	20000.000000
1002.700000	6398000.000000	0.037731	0.017453	240.000000	0.000000	0.000000	240648.000000	111317.099692	20000.000000
1002.800000	6398000.000000	0.037735	0.017453	240.000000	0.000000	0.000000	240672.000000	111317.099692	20000.000000
1002.900000	6398000.000000	0.037738	0.017453	240.000000	0.000000	0.000000	240696.000000	111317.099692	20000.000000
1003.000000	6398000.000000	0.037742	0.017453	240.000000	0.000000	0.000000	240720.000000	111317.099692	20000.000000
1003.100000	6398000.000000	0.037746	0.017453	240.000000	0.000000	0.000000	240744.000000	111317.099692	20000.000000
1003.200000	6398000.000000	0.037750	0.017453	240.000000	0.000000	0.000000	240768.000000	111317.099692	20000.000000
1003.300000	6398000.000000	0.037754	0.017453	240.000000	0.000000	0.000000	240792.000000	111317.099692	20000.000000
1003.400000	6398000.000000	0.037757	0.017453	240.000000	0.000000	0.000000	240816.000000	111317.099692	20000.000000
1003.500000	6398000.000000	0.037761	0.017453	240.000000	0.000000	0.000000	240840.000000	111317.099692	20000.000000
